location,year,age,sex,mx,cause,prev
Kenya,1990,31,Female,0.00470417,Seborrhoeic dermatitis,8.55004169382398e-4
Kenya,1990,31,Female,0.00470417,Stomach cancer,5.6456360371313595e-6
Kenya,1990,32,Male,0.00592136,Seborrhoeic dermatitis,8.5614494703899e-4
Kenya,1990,32,Male,0.00592136,Stomach cancer,3.84010036502009e-6
Kenya,1990,32,Female,0.00492882,Seborrhoeic dermatitis,8.55004169382398e-4
Kenya,1990,32,Female,0.00492882,Stomach cancer,5.6456360371313595e-6
Kenya,1990,33,Male,0.00618539,Seborrhoeic dermatitis,8.5614494703899e-4
Kenya,1990,33,Male,0.00618539,Stomach cancer,3.84010036502009e-6
Kenya,1990,33,Female,0.00511947,Seborrhoeic dermatitis,8.55004169382398e-4
Kenya,1990,33,Female,0.00511947,Stomach cancer,5.6456360371313595e-6
Kenya,1990,34,Male,0.00646756,Seborrhoeic dermatitis,8.5614494703899e-4
Kenya,1990,34,Male,0.00646756,Stomach cancer,6.5693661046318874e-6
Kenya,1990,34,Female,0.00533039,Seborrhoeic dermatitis,8.55004169382398e-4
Kenya,1990,34,Female,0.00533039,Stomach cancer,8.447663657106543e-6
Kenya,1990,35,Male,0.00681773,Seborrhoeic dermatitis,9.35689468589594e-4
Kenya,1990,35,Male,0.00681773,Stomach cancer,6.5693661046318874e-6
Kenya,1990,35,Female,0.00555487,Seborrhoeic dermatitis,9.394003089920361e-4
Kenya,1990,35,Female,0.00555487,Stomach cancer,8.447663657106543e-6
Kenya,1990,36,Male,0.00713131,Seborrhoeic dermatitis,9.35689468589594e-4
Kenya,1990,36,Male,0.00713131,Stomach cancer,6.5693661046318874e-6
Kenya,1990,36,Female,0.0057813,Seborrhoeic dermatitis,9.394003089920361e-4
Kenya,1990,36,Female,0.0057813,Stomach cancer,8.447663657106543e-6
Kenya,1990,37,Male,0.00745378,Seborrhoeic dermatitis,9.35689468589594e-4
Kenya,1990,37,Male,0.00745378,Stomach cancer,6.5693661046318874e-6
Kenya,1990,37,Female,0.00599377,Seborrhoeic dermatitis,9.394003089920361e-4
Kenya,1990,37,Female,0.00599377,Stomach cancer,8.447663657106543e-6
Kenya,1990,38,Male,0.00782648,Seborrhoeic dermatitis,9.35689468589594e-4
Kenya,1990,38,Male,0.00782648,Stomach cancer,6.5693661046318874e-6
Kenya,1990,38,Female,0.00627922,Seborrhoeic dermatitis,9.394003089920361e-4
Kenya,1990,38,Female,0.00627922,Stomach cancer,8.447663657106543e-6
Kenya,1990,39,Male,0.00815617,Seborrhoeic dermatitis,9.35689468589594e-4
Kenya,1990,39,Male,0.00815617,Stomach cancer,1.2255195775080624e-5
Kenya,1990,39,Female,0.00649486,Seborrhoeic dermatitis,9.394003089920361e-4
Kenya,1990,39,Female,0.00649486,Stomach cancer,1.2188874126081767e-5
Kenya,1990,40,Male,0.0086264,Seborrhoeic dermatitis,9.291023950073359e-4
Kenya,1990,40,Male,0.0086264,Stomach cancer,1.2255195775080624e-5
Kenya,1990,40,Female,0.00681529,Seborrhoeic dermatitis,9.348089309976499e-4
Kenya,1990,40,Female,0.00681529,Stomach cancer,1.2188874126081767e-5
Kenya,1990,41,Male,0.00887481,Seborrhoeic dermatitis,9.291023950073359e-4
Kenya,1990,41,Male,0.00887481,Stomach cancer,1.2255195775080624e-5
Kenya,1990,41,Female,0.00695096,Seborrhoeic dermatitis,9.348089309976499e-4
Kenya,1990,41,Female,0.00695096,Stomach cancer,1.2188874126081767e-5
Kenya,1990,42,Male,0.00940046,Seborrhoeic dermatitis,9.291023950073359e-4
Kenya,1990,42,Male,0.00940046,Stomach cancer,1.2255195775080624e-5
Kenya,1990,42,Female,0.00730191,Seborrhoeic dermatitis,9.348089309976499e-4
Kenya,1990,42,Female,0.00730191,Stomach cancer,1.2188874126081767e-5
Kenya,1990,43,Male,0.00974565,Seborrhoeic dermatitis,9.291023950073359e-4
Kenya,1990,43,Male,0.00974565,Stomach cancer,1.2255195775080624e-5
