year,age,expos,sex
1953,63,51.503,f
1953,64,49.4985,f
1953,65,46.84,f
1953,66,42.633,f
1953,67,37.571,f
1953,68,32.7915,f
1953,69,28.1345,f
1953,70,24.0495,f
1953,71,21.439,f
1953,72,19.4735,f
1953,73,17.378,f
1953,74,15.4355,f
1953,75,13.4105,f
1953,76,10.8865,f
1953,77,8.2965,f
1953,78,6.161,f
1953,79,4.356,f
1953,80,3.151,f
1953,81,2.79,f
1953,82,2.85,f
1953,83,2.8885,f
1953,84,2.9235,f
1953,85,2.7595,f
1953,86,2.2205,f
1953,87,1.543,f
1953,88,1.047,f
1953,89,0.6765,f
1953,90,0.399,f
1953,91,0.2655,f
1953,92,0.211,f
1953,93,0.15,f
1953,94,0.101,f
1953,95,0.0775,f
1953,96,0.0585,f
1953,97,0.0415,f
1953,98,0.0335,f
1953,99,0.03,f
1953,100+,0.058,f
1954,0,391.9545,f
1954,1,349.6495,f
1954,2,321.9415,f
1954,3,296.4725,f
1954,4,287.894,f
1954,5,287.097,f
1954,6,277.341,f
1954,7,269.537,f
1954,8,264.1105,f
1954,9,257.0755,f
1954,10,254.896,f
1954,11,257.4765,f
1954,12,259.507,f
1954,13,260.8915,f
1954,14,256.8265,f
1954,15,248.0485,f
1954,16,236.169,f
1954,17,225.253,f
1954,18,216.1275,f
1954,19,207.6925,f
1954,20,199.626,f
1954,21,191.8585,f
1954,22,185.722,f
1954,23,180.5385,f
1954,24,175.0065,f
1954,25,169.205,f
1954,26,164.3875,f
1954,27,160.7655,f
1954,28,157.6395,f
1954,29,154.465,f
1954,30,151.62,f
1954,31,147.9915,f
1954,32,142.2495,f
1954,33,135.5275,f
1954,34,129.368,f
1954,35,123.3455,f
1954,36,118.1795,f
1954,37,115.328,f
1954,38,113.6055,f
1954,39,111.6365,f
1954,40,109.585,f
1954,41,107.5545,f
1954,42,104.9085,f
1954,43,101.8265,f
1954,44,99.054,f
1954,45,96.7905,f
1954,46,93.588,f
1954,47,88.6655,f
1954,48,83.005,f
1954,49,77.7335,f
1954,50,72.386,f
1954,51,68.3735,f
1954,52,67.2975,f
1954,53,67.7815,f
1954,54,68.1575,f
1954,55,68.419,f
1954,56,68.2165,f
1954,57,66.3655,f
1954,58,63.4765,f
1954,59,60.8765,f
1954,60,58.412,f
1954,61,55.8965,f
1954,62,53.9575,f
1954,63,52.193,f
1954,64,50.1595,f
1954,65,48.0755,f
1954,66,45.3575,f
1954,67,41.1445,f
1954,68,36.1175,f
1954,69,31.38,f
1954,70,26.7805,f
1954,71,22.7435,f
1954,72,20.1095,f
1954,73,18.083,f
1954,74,15.943,f
1954,75,13.959,f
1954,76,11.9325,f
1954,77,9.5155,f
1954,78,7.1155,f
1954,79,5.184,f
1954,80,3.6005,f
1954,81,2.559,f
1954,82,2.221,f
1954,83,2.216,f
1954,84,2.192,f
1954,85,2.1585,f
1954,86,1.98,f
1954,87,1.546,f
1954,88,1.0425,f
1954,89,0.686,f
1954,90,0.4315,f
1954,91,0.2495,f
1954,92,0.1625,f
1954,93,0.1265,f
1954,94,0.0895,f
1954,95,0.0605,f
1954,96,0.0465,f
1954,97,0.0355,f
1954,98,0.027,f
1954,99,0.022,f
1954,100+,0.045,f
1955,0,411.3085,f
1955,1,372.4155,f
1955,2,344.1595,f
1955,3,317.3345,f
1955,4,292.4755,f
1955,5,284.2385,f
1955,6,283.88,f
1955,7,274.761,f
1955,8,267.5665,f
1955,9,262.6445,f
1955,10,255.9605,f
1955,11,253.9695,f
1955,12,256.6585,f
1955,13,258.762,f
1955,14,260.198,f
1955,15,256.191,f
1955,16,247.482,f
1955,17,235.688,f
1955,18,224.862,f
1955,19,215.829,f
1955,20,207.488,f
1955,21,199.51,f
1955,22,191.8165,f
1955,23,185.727,f
1955,24,180.5645,f
1955,25,175.0395,f
1955,26,169.2325,f
1955,27,164.3955,f
1955,28,160.743,f
1955,29,157.581,f
1955,30,154.3695,f
1955,31,151.4815,f
1955,32,147.811,f
1955,33,142.0375,f
1955,34,135.287,f
1955,35,129.094,f
1955,36,123.0365,f
1955,37,117.833,f
1955,38,114.93,f
1955,39,113.152,f
1955,40,111.1325,f
1955,41,109.0345,f
1955,42,106.9585,f
1955,43,104.2755,f
1955,44,101.162,f
1955,45,98.3585,f
1955,46,96.061,f
1955,47,92.8385,f
1955,48,87.9175,f
1955,49,82.2715,f
1955,50,77.014,f
1955,51,71.6825,f
1955,52,67.67,f
1955,53,66.5585,f
1955,54,66.981,f
1955,55,67.2925,f
1955,56,67.488,f
1955,57,67.2215,f
1955,58,65.332,f
1955,59,62.42,f
1955,60,59.789,f
1955,61,57.289,f
1955,62,54.7315,f
1955,63,52.7315,f
1955,64,50.8925,f
1955,65,48.7835,f
1955,66,46.6245,f
1955,67,43.8515,f
1955,68,39.638,f
1955,69,34.653,f
1955,70,29.958,f
1955,71,25.414,f
1955,72,21.423,f
1955,73,18.7675,f
1955,74,16.686,f
1955,75,14.5155,f
1955,76,12.5165,f
1955,77,10.5215,f
1955,78,8.243,f
1955,79,6.0515,f
1955,80,4.3275,f
1955,81,2.9525,f
1955,82,2.0605,f
1955,83,1.7495,f
1955,84,1.702,f
1955,85,1.639,f
1955,86,1.566,f
1955,87,1.3935,f
1955,88,1.054,f
1955,89,0.6885,f
1955,90,0.4405,f
1955,91,0.2705,f
1955,92,0.1535,f
1955,93,0.0995,f
1955,94,0.0765,f
1955,95,0.054,f
1955,96,0.0375,f
1955,97,0.03,f
1955,98,0.0235,f
1955,99,0.019,f
1955,100+,0.035,f
1956,0,430.991,f
1956,1,393.349,f
1956,2,367.5975,f
1956,3,340.117,f
1956,4,313.828,f
1956,5,289.454,f
1956,6,281.579,f
1956,7,281.5955,f
1956,8,272.935,f
1956,9,266.1445,f
1956,10,261.5375,f
1956,11,255.083,f
1956,12,253.227,f
1956,13,255.9965,f
1956,14,258.161,f
1956,15,259.6505,f
1956,16,255.7095,f
1956,17,247.086,f
1956,18,235.4005,f
1956,19,224.6875,f
1956,20,215.7645,f
1956,21,207.5215,f
1956,22,199.6245,f
1956,23,191.988,f
1956,24,185.923,f
1956,25,180.7585,f
1956,26,175.2185,f
1956,27,169.388,f
1956,28,164.5165,f
1956,29,160.8195,f
1956,30,157.6105,f
1956,31,154.3495,f
1956,32,151.407,f
1956,33,147.685,f
1956,34,141.869,f
1956,35,135.0815,f
1956,36,128.8465,f
1956,37,122.749,f
1956,38,117.5025,f
1956,39,114.545,f
1956,40,112.709,f
1956,41,110.6365,f
1956,42,108.489,f
1956,43,106.3665,f
